description,filename,id,species,source,species_code,cleaned_filename,contigs_greater_0_bp,contigs_greater_1000_bp,contigs_greater_5000_bp,contigs_greater_10000_bp,contigs_greater_25000_bp,contigs_greater_50000_bp,total_length_greater_0_bp,total_length_greater_1000_bp,total_length_greater_5000_bp,total_length_greater_10000_bp,total_length_greater_25000_bp,total_length_greater_50000_bp,total_contigs,largest_contig,total_length,N50,N75,L50,L75,number_Ns_per_100_kbp
"Pseudomonas chlororaphis strain JV395B Contig1, whole genome shotgun sequence",GCF_008630545.1_ASM863054v1_genomic.fna,NZ_VWPB01000001.1,chlororaphis,REFSEQ,14,14_VWPB01000001,184,184,161,141,94,48,6771006,6771006,6701425,6553476,5781406,4101936,184,187206,6771006,60108,36478,36,71,0.74
"Pseudomonas aeruginosa strain AUS327 IPC300_1.1, whole genome shotgun sequence",GCF_003840705.1_ASM384070v1_genomic.fna,NZ_NSYI01000001.1,aeruginosa,REFSEQ,1,1_NSYI01000001,29,28,22,21,18,16,6297374,6296730,6280813,6271649,6225274,6163216,29,928350,6297374,506320,280225,5,9,1.97
"Pseudomonas sp. 286 isolate p4.B9, whole genome shotgun sequence",GCF_900590845.1_p4.B9_genomic.fna,NZ_UUOI01000037.1,sp.,REFSEQ,4,4_UUOI01000037,38,15,11,11,11,11,5921974,5915837,5906955,5906955,5906955,5906955,18,1350338,5917447,848640,694707,3,5,0.0
"Pseudomonas aeruginosa strain TNCF_133_1 NODE_102_length_446_cov_1.22257_ID_203, whole genome shotgun sequence",GCF_001765535.1_ASM176553v1_genomic.fna,NZ_MAZE01000063.1,aeruginosa,REFSEQ,1,1_MAZE01000063,86,52,44,40,36,29,6641588,6627925,6610868,6583681,6510174,6264692,61,616024,6634467,269350,156510,9,16,0.0
"Pseudomonas chlororaphis subsp. aureofaciens strain ChPhzS24 chromosome, complete genome",GCF_003851445.1_ASM385144v1_genomic.fna,NZ_CP027750.1,chlororaphis,REFSEQ,14,14_CP027750,1,1,1,1,1,1,6889553,6889553,6889553,6889553,6889553,6889553,1,6889553,6889553,6889553,6889553,1,1,0.0
"Pseudomonas sp. URIL14HWK12:I12 F474DRAFT_scaffold00001.1, whole genome shotgun sequence",GCF_003097135.1_ASM309713v1_genomic.fna,NZ_QEQL01000001.1,sp.,REFSEQ,4,4_QEQL01000001,22,22,13,12,10,9,4848195,4848195,4834400,4825060,4794240,4757384,22,1482917,4848195,577953,478268,3,5,0.0
"Pseudomonas aeruginosa strain 15 IPC1598_1.1, whole genome shotgun sequence",GCF_004370015.1_ASM437001v1_genomic.fna,NZ_RWLF01000001.1,aeruginosa,REFSEQ,1,1_RWLF01000001,50,47,39,32,27,24,7110697,7108488,7091336,7048057,6957393,6827408,50,872288,7110697,418095,213479,6,12,2.45
"Pseudomonas sp. BCA14 strain BCA-14, whole genome shotgun sequence",GCF_004519425.1_ASM451942v1_genomic.fna,NZ_SGWJ01000001.1,sp.,REFSEQ,4,4_SGWJ01000001,34,30,22,18,15,13,6321369,6319599,6303204,6271219,6220551,6137234,31,1896292,6320455,562240,354007,3,7,0.0
"Pseudomonas aeruginosa strain env225 NODE_10_length_275083_cov_18.9307, whole genome shotgun sequence",GCF_002326625.1_ASM232662v1_genomic.fna,NZ_NRAB01000010.1,aeruginosa,REFSEQ,1,1_NRAB01000010,38,28,25,22,22,18,6155302,6148424,6141187,6124639,6124639,5943241,38,880840,6155302,457442,378403,5,9,0.0
"Pseudomonas helmanticensis strain BIGb0525 Ga0304788_101, whole genome shotgun sequence",GCF_004365765.1_ASM436576v1_genomic.fna,NZ_SOCQ01000001.1,helmanticensis,REFSEQ,15,15_SOCQ01000001,42,42,36,34,34,30,6628093,6628093,6616074,6600510,6600510,6416090,42,632583,6628093,240891,159603,10,18,1.43
"Pseudomonas aeruginosa isolate 237, whole genome shotgun sequence",GCF_900145745.1_237_genomic.fna,NZ_FRMY01000066.1,aeruginosa,REFSEQ,1,1_FRMY01000066,71,61,45,40,38,29,6424232,6417837,6384919,6354134,6323123,6005395,68,741468,6422959,219013,166746,9,17,0.0
"Pseudomonas sp. 286 isolate p13.D6, whole genome shotgun sequence",GCF_900582185.1_p13.D6_genomic.fna,NZ_UTGX01000052.1,sp.,REFSEQ,4,4_UTGX01000052,52,22,18,18,18,18,5844201,5834392,5824776,5824776,5824776,5824776,25,645346,5836041,436171,249402,6,10,0.0
"Pseudomonas aeruginosa isolate TSB Bead Pool 2, whole genome shotgun sequence",GCF_001375175.1_269_Tsb_Bead_Pool_2_contigs_500_genomic.fna,NZ_CUXT01000001.1,aeruginosa,REFSEQ,1,1_CUXT01000001,81,73,50,43,40,34,6487113,6480885,6428706,6382985,6329000,6088790,81,423912,6487113,210976,136431,11,20,0.0
"Pseudomonas aeruginosa BL10 adgez-supercont1.1, whole genome shotgun sequence",GCF_000480945.1_Pseu_aeru_BL10_V1_genomic.fna,NZ_KI518883.1,aeruginosa,REFSEQ,1,1_KI518883,3,3,3,3,3,3,6499542,6499542,6499542,6499542,6499542,6499542,3,3169845,6499542,2328485,2328485,2,2,145.75
"Pseudomonas sp. MYb115 MYb115_1, whole genome shotgun sequence",GCF_002980155.1_ASM298015v1_genomic.fna,NZ_PCQM01000001.1,sp.,REFSEQ,4,4_PCQM01000001,85,85,62,56,42,34,6263738,6263738,6214747,6171959,5941538,5627078,85,619238,6263738,194311,90930,9,21,11.69
"Pseudomonas sp. 286 isolate p7.A5, whole genome shotgun sequence",GCF_900600675.1_p7.A5_genomic.fna,NZ_UWAD01000070.1,sp.,REFSEQ,4,4_UWAD01000070,70,23,19,19,19,19,5850138,5833634,5824018,5824018,5824018,5824018,29,719114,5837486,340032,305391,6,10,0.0
"Pseudomonas fluorescens strain TR3 kmer60-min500.1013, whole genome shotgun sequence",GCF_002216645.1_ASM221664v1_genomic.fna,NZ_MKHA01000018.1,fluorescens,REFSEQ,9,9_MKHA01000018,26,21,19,18,16,14,6163608,6160332,6156861,6150128,6109179,6031482,25,1189908,6163205,588857,466218,4,7,137.79
"Pseudomonas aeruginosa strain ATCC 15692 chromosome, complete genome",GCF_001729505.1_ASM172950v1_genomic.fna,NZ_CP017149.1,aeruginosa,REFSEQ,1,1_CP017149,1,1,1,1,1,1,6276434,6276434,6276434,6276434,6276434,6276434,1,6276434,6276434,6276434,6276434,1,1,0.0
"Pseudomonas sp. LAIL14HWK12:I12 D902DRAFT_scaffold00001.1_C, whole genome shotgun sequence",GCF_000514335.1_ASM51433v1_genomic.fna,NZ_AZVS01000001.1,sp.,REFSEQ,4,4_AZVS01000001,26,26,21,20,16,15,5575902,5575902,5566711,5561475,5501096,5456940,26,1015160,5575902,418084,324860,5,9,36.77
"Pseudomonas aeruginosa strain KCRI-310A isolate R0008_310A, whole genome shotgun sequence",GCF_900406825.1_De_novo_assembly_of_KCRI_isolate_R0008_310A_genomic.fna,NZ_OVCR01000096.1,aeruginosa,REFSEQ,1,1_OVCR01000096,199,80,65,64,56,35,6334061,6287512,6251064,6244505,6106670,5260109,97,685297,6297940,170730,62704,11,26,0.0
"Pseudomonas aeruginosa strain Pae74, whole genome shotgun sequence",GCF_004053935.1_ASM405393v1_genomic.fna,NZ_SBJZ01000001.1,aeruginosa,REFSEQ,1,1_SBJZ01000001,98,62,45,43,40,33,6610049,6592298,6555748,6540320,6490611,6227304,72,749028,6600569,233896,121611,8,19,0.0
"Pseudomonas aeruginosa strain Mi159 IPC856_1.1, whole genome shotgun sequence",GCF_003836315.1_ASM383631v1_genomic.fna,NZ_NSSZ01000001.1,aeruginosa,REFSEQ,1,1_NSSZ01000001,37,35,31,29,28,21,6412419,6410995,6402304,6386877,6366768,6090968,37,994469,6412419,373602,197850,6,12,7.19
"Pseudomonas sp. 286 isolate p6.E2, whole genome shotgun sequence",GCF_900600185.1_p6.E2_genomic.fna,NZ_UVYG01000043.1,sp.,REFSEQ,4,4_UVYG01000043,47,26,22,22,20,20,5968447,5961663,5952421,5952421,5928034,5928034,28,748379,5962712,463825,239488,5,10,0.0
"Pseudomonas sp. 286 isolate p24.H6, whole genome shotgun sequence",GCF_900587125.1_p24.H6_genomic.fna,NZ_UTZY01000203.1,sp.,REFSEQ,4,4_UTZY01000203,203,187,156,128,70,38,5979461,5972283,5884592,5681434,4726812,3641304,193,370412,5976903,64468,30468,27,61,0.07
"Pseudomonas aeruginosa isolate 365, whole genome shotgun sequence",GCF_900146915.1_365_genomic.fna,NZ_FRRM01000070.1,aeruginosa,REFSEQ,1,1_FRRM01000070,74,57,45,43,37,27,6315046,6303621,6276385,6264487,6176561,5792498,70,702299,6313262,248924,140638,8,16,0.0
"Pseudomonas aeruginosa strain Pae_CF67.12j CF67.12j_contig_1, whole genome shotgun sequence",GCF_001036645.1_ASM103664v1_genomic.fna,NZ_LEJV01000001.1,aeruginosa,REFSEQ,1,1_LEJV01000001,90,76,60,58,48,33,6412352,6405700,6371666,6360217,6190373,5627505,81,491773,6409447,226515,86269,10,22,28.4
"Pseudomonas aeruginosa strain JYH12 IPC1223_1.1, whole genome shotgun sequence",GCF_003834285.1_ASM383428v1_genomic.fna,NZ_NSOJ01000001.1,aeruginosa,REFSEQ,1,1_NSOJ01000001,45,38,30,26,24,23,6758202,6752977,6731593,6700339,6666452,6635432,45,1891718,6758202,393820,216547,4,10,0.92
"Pseudomonas aeruginosa isolate XDR-PA, whole genome shotgun sequence",GCF_900708325.1_GAL06-004_genomic.fna,NZ_CAADOX010000001.1,aeruginosa,REFSEQ,1,1_CAADOX010000001,909,776,423,207,34,1,6176854,6081364,5171890,3648249,1087655,50995,909,50995,6176854,11759,6686,156,329,0.0
"Pseudomonas aeruginosa strain Zw75_2 IPC1438_1.1, whole genome shotgun sequence",GCF_003974395.1_ASM397439v1_genomic.fna,NZ_RWZS01000001.1,aeruginosa,REFSEQ,1,1_RWZS01000001,35,30,28,26,25,21,6477516,6473662,6468211,6457287,6440627,6272767,35,895528,6477516,448595,213775,5,11,1.3
"Pseudomonas aeruginosa strain WH-SGI-V-07253 WH-SGI-V-07253_contig1, whole genome shotgun sequence",GCF_001452905.1_WH-SGI-V-07253_genomic.fna,NZ_LLTN01000001.1,aeruginosa,REFSEQ,1,1_LLTN01000001,116,75,56,48,41,35,7381524,7363343,7315280,7264597,7166306,6934481,89,688185,7372628,215094,144632,11,21,0.8
"Pseudomonas aeruginosa strain 2_1_26 supercont1.1, whole genome shotgun sequence",GCF_000233495.1_Pseudomonas_sp_2_1_26_V1_genomic.fna,NZ_JH376461.1,aeruginosa,REFSEQ,1,1_JH376461,51,30,14,12,11,11,6447478,6431319,6407360,6395361,6382678,6382678,51,1998389,6447478,709633,418246,3,6,1649.73
"Pseudomonas aeruginosa strain U5b-2 NODE_100_length_308_cov_7.80663, whole genome shotgun sequence",GCF_002325985.1_ASM232598v1_genomic.fna,NZ_NQZD01000100.1,aeruginosa,REFSEQ,1,1_NQZD01000100,100,80,65,58,54,42,6449880,6438381,6407249,6362803,6304882,5843982,93,423565,6446861,163758,84970,13,27,0.0
"Pseudomonas sp. 286 isolate p24.E7, whole genome shotgun sequence",GCF_900586775.1_p24.E7_genomic.fna,NZ_UTYR01000115.1,sp.,REFSEQ,4,4_UTYR01000115,115,100,91,82,63,39,5894509,5890229,5869714,5803643,5494200,4662530,102,476965,5891449,103524,61228,16,35,0.05
"Pseudomonas sp. 286 isolate p1.D7, whole genome shotgun sequence",GCF_900583075.1_p1.D7_genomic.fna,NZ_UTKM01000062.1,sp.,REFSEQ,4,4_UTKM01000062,63,53,52,48,45,36,5836513,5834079,5831499,5803917,5741621,5395914,53,483529,5834079,132985,102154,12,24,0.09
"Pseudomonas aeruginosa strain BTP032 MC15175037, whole genome shotgun sequence",GCF_001086635.1_ASM108663v1_genomic.fna,NZ_LFMP01000001.1,aeruginosa,REFSEQ,1,1_LFMP01000001,32,22,15,12,10,8,7547174,7541686,7525936,7506802,7486230,7421758,28,2771368,7545610,2492409,1630644,2,3,0.0
"Pseudomonas aeruginosa strain PAC56B IPC143_1.1, whole genome shotgun sequence",GCF_004373845.1_ASM437384v1_genomic.fna,NZ_RWSK01000001.1,aeruginosa,REFSEQ,1,1_RWSK01000001,37,34,30,28,25,21,6307452,6305310,6292523,6281013,6229989,6067590,37,1001507,6307452,371680,196842,6,11,3.46
"Pseudomonas sp. JUb52 Ga0304790_101, whole genome shotgun sequence",GCF_004341115.1_ASM434111v1_genomic.fna,NZ_SLYS01000001.1,sp.,REFSEQ,4,4_SLYS01000001,48,48,31,30,24,19,5129362,5129362,5093269,5083963,4996186,4797962,48,652845,5129362,317781,158835,6,11,0.19
"Pseudomonas aeruginosa isolate 337, whole genome shotgun sequence",GCF_900146655.1_337_genomic.fna,NZ_FRQL01000068.1,aeruginosa,REFSEQ,1,1_FRQL01000068,69,56,46,44,42,30,6554551,6546201,6526867,6514470,6484151,6012786,64,612575,6552294,334146,109911,8,17,0.0
"Pseudomonas syringae pv. philadelphi strain ICMP8903 PpdICMP8903_Contig_1, whole genome shotgun sequence",GCF_001400595.1_PpdICMP8903_genomic.fna,NZ_LJQY01000106.1,syringae,REFSEQ,0,0_LJQY01000106,479,284,162,129,77,42,6150269,6065812,5800852,5572800,4704804,3408594,346,205695,6108866,56942,28516,36,73,25.03
"Pseudomonas aeruginosa strain M63 NODE_10_length_235659_cov_29.6399, whole genome shotgun sequence",GCF_004123325.1_ASM412332v1_genomic.fna,NZ_SDVH01000010.1,aeruginosa,REFSEQ,1,1_SDVH01000010,63,61,49,45,39,34,6523233,6521808,6497358,6473340,6360018,6171988,63,630504,6523233,235694,114832,9,18,10.56
"Pseudomonas sp. 286, whole genome shotgun sequence",GCF_900586935.1_p24.G10_genomic.fna,NZ_UUAD01000118.1,sp.,REFSEQ,4,4_UUAD01000118,118,31,20,19,17,16,5922152,5891756,5871406,5863285,5840853,5811434,42,1353863,5899318,457744,344579,4,8,0.03
"Pseudomonas denitrificans (nomen rejiciendum) strain 994_PDEN 108_34540_617430, whole genome shotgun sequence",GCF_001067805.1_ASM106780v1_genomic.fna,NZ_JUKO01000040.1,denitrificans,REFSEQ,16,16_JUKO01000040,306,210,153,130,84,40,6642863,6605320,6481485,6309713,5528082,3935257,234,225256,6622341,68242,34076,30,65,0.0
"Pseudomonas aeruginosa strain PA-W6 IPC2_1.1, whole genome shotgun sequence",GCF_003841775.1_ASM384177v1_genomic.fna,NZ_NTBC01000001.1,aeruginosa,REFSEQ,1,1_NTBC01000001,32,30,25,21,20,18,6433732,6432317,6422268,6396333,6379530,6296747,32,834946,6433732,514450,320607,5,9,0.9
"Pseudomonas aeruginosa strain PABL102 NODE_100_length_1160_cov_202.893, whole genome shotgun sequence",GCF_003410585.1_ASM341058v1_genomic.fna,NZ_QVAV01000099.1,aeruginosa,REFSEQ,1,1_QVAV01000099,126,99,77,69,51,38,6424189,6412952,6352151,6295570,5992237,5537583,106,397988,6418314,135509,73216,12,27,0.0
"Pseudomonas aeruginosa strain Pae_CF67.08p CF67.08p_contig_1, whole genome shotgun sequence",GCF_001035175.1_ASM103517v1_genomic.fna,NZ_LEHA01000001.1,aeruginosa,REFSEQ,1,1_LEHA01000001,191,152,123,111,78,51,6383789,6363058,6297724,6207453,5627944,4665568,171,238586,6377878,75582,47632,28,54,93.82
"Pseudomonas aeruginosa strain LiP9 IPC1080_1.1, whole genome shotgun sequence",GCF_003834865.1_ASM383486v1_genomic.fna,NZ_NSPX01000001.1,aeruginosa,REFSEQ,1,1_NSPX01000001,39,38,30,28,26,22,6477494,6476737,6454683,6440786,6412721,6263204,39,788285,6477494,459021,231071,6,11,1.42
"Pseudomonas aeruginosa strain U0330A IPC940_1.1, whole genome shotgun sequence",GCF_003836025.1_ASM383602v1_genomic.fna,NZ_NSRZ01000001.1,aeruginosa,REFSEQ,1,1_NSRZ01000001,29,26,22,20,18,15,6413097,6410750,6398122,6386611,6349715,6218793,29,1816017,6413097,781930,279103,3,7,2.12
"Pseudomonas aeruginosa strain Env_58 contig-0, whole genome shotgun sequence",GCF_002239415.1_ASM223941v1_genomic.fna,NZ_NLAZ01000001.1,aeruginosa,REFSEQ,1,1_NLAZ01000001,165,132,100,88,66,38,6656665,6639494,6564159,6489037,6106525,5060212,149,451140,6651879,107654,52879,16,37,0.0
"Pseudomonas aeruginosa isolate 15.311Ga, whole genome shotgun sequence",GCF_001373835.1_244_15_311Ga_contigs_500_genomic.fna,NZ_CUXK01000001.1,aeruginosa,REFSEQ,1,1_CUXK01000001,82,69,49,43,39,34,6485331,6476243,6432248,6394459,6329229,6116776,82,480689,6485331,231054,125566,10,19,0.0
"Pseudomonas sp. 286 isolate p9.D2, whole genome shotgun sequence",GCF_900602495.1_p9.D2_genomic.fna,NZ_UWHD01000057.1,sp.,REFSEQ,4,4_UWHD01000057,61,32,27,26,24,21,5990255,5979477,5969950,5962494,5929379,5805355,35,690232,5981534,365877,225650,6,12,0.0
"Pseudomonas sp. 286 isolate p8.G9, whole genome shotgun sequence",GCF_900602045.1_p8.G9_genomic.fna,NZ_UWFG01000344.1,sp.,REFSEQ,4,4_UWFG01000344,344,31,23,23,22,21,6692279,6585548,6570023,6570023,6559313,6513705,47,951569,6594759,373260,281024,6,11,0.0
Pseudomonas knackmussii B13 complete genome,GCF_000689415.1_PKB13_genomic.fna,NZ_HG322950.1,knackmussii,REFSEQ,17,17_HG322950,1,1,1,1,1,1,6162905,6162905,6162905,6162905,6162905,6162905,1,6162905,6162905,6162905,6162905,1,1,0.0
"Pseudomonas lundensis strain AU10414 Contig_1, whole genome shotgun sequence",GCF_001020625.1_ASM102062v1_genomic.fna,NZ_LCYU01000019.1,lundensis,REFSEQ,18,18_LCYU01000019,56,33,23,21,20,20,4836706,4826637,4812734,4800738,4784538,4784538,39,682799,4831267,284084,192369,6,11,4.97
"Pseudomonas cannabina strain ICMP 2821 PcbICMP2821_Contig_1, whole genome shotgun sequence",GCF_003699765.1_ASM369976v1_genomic.fna,NZ_RBOW01000908.1,cannabina,REFSEQ,19,19_RBOW01000908,1107,736,340,187,42,5,6083738,5890496,4917600,3815175,1557032,340213,913,84532,6018656,14096,6704,120,271,11.66
"Pseudomonas aeruginosa isolate BS3413, whole genome shotgun sequence",GCF_902204145.1_BS3413_genomic.fna,NZ_CABITO010000001.1,aeruginosa,REFSEQ,1,1_CABITO010000001,74,65,51,48,39,32,7049171,7043416,7014430,6994271,6848579,6592426,71,641293,7047890,266399,134118,9,17,4.34
"Pseudomonas aeruginosa strain PPF-21 scaffold_0, whole genome shotgun sequence",GCF_002312245.1_ASM231224v1_genomic.fna,NZ_MWXS01000001.1,aeruginosa,REFSEQ,1,1_MWXS01000001,92,87,64,51,46,36,6873566,6869490,6805279,6721656,6639196,6247062,92,464453,6873566,262937,106511,10,22,10.29
"Pseudomonas sp. 286 isolate p4.E3, whole genome shotgun sequence",GCF_900590995.1_p4.E3_genomic.fna,NZ_UUOW01000224.1,sp.,REFSEQ,4,4_UUOW01000224,225,151,131,116,73,41,6203381,6176829,6129033,6018932,5283514,4123622,159,280291,6182655,74425,36883,25,54,0.0
"Pseudomonas aeruginosa strain HUM-294 NODE_100_length_1319_cov_35.1496_ID_199, whole genome shotgun sequence",GCF_003632045.1_ASM363204v1_genomic.fna,NZ_QZZJ01000002.1,aeruginosa,REFSEQ,1,1_QZZJ01000002,147,108,74,69,58,41,6514518,6495221,6422005,6387882,6186224,5570695,125,406208,6507178,126647,78467,15,31,0.0
"Pseudomonas aeruginosa strain AZPAE14721 AZPAE14721_contig_1, whole genome shotgun sequence",GCF_000796245.1_AZPAE14721_genomic.fna,NZ_JTWL01000001.1,aeruginosa,REFSEQ,1,1_JTWL01000001,164,135,92,75,62,44,6867543,6846927,6752527,6634946,6407485,5724544,164,323477,6867543,154935,69534,18,35,15.1
"Pseudomonas fluorescens Q2-87 chromosome, whole genome shotgun sequence",GCF_000281895.1_ASM28189v1_genomic.fna,NZ_CM001558.1,fluorescens,REFSEQ,9,9_CM001558,1,1,1,1,1,1,6368168,6368168,6368168,6368168,6368168,6368168,1,6368168,6368168,6368168,6368168,1,1,3.14
"Pseudomonas aeruginosa strain AZPAE15062 AZPAE15062_contig_1, whole genome shotgun sequence",GCF_000793285.1_AZPAE15062_genomic.fna,NZ_JTMK01000001.1,aeruginosa,REFSEQ,1,1_JTMK01000001,78,66,45,42,40,32,6481258,6472361,6424502,6406220,6376377,6064377,78,556371,6481258,244201,121076,9,19,44.1
"Pseudomonas aeruginosa isolate TSB Bead DWL Pool 1, whole genome shotgun sequence",GCF_001374095.1_281_Tsb_Bead_Dwl_Pool_1_contigs_500_genomic.fna,NZ_CUXW01000001.1,aeruginosa,REFSEQ,1,1_CUXW01000001,182,165,112,95,76,43,7584892,7572297,7450744,7330706,7023668,5758717,182,551220,7584892,125540,53532,19,42,0.0
"Pseudomonas aeruginosa strain HCF238 IPC1412_1.1, whole genome shotgun sequence",GCF_003974565.1_ASM397456v1_genomic.fna,NZ_RXAJ01000001.1,aeruginosa,REFSEQ,1,1_RXAJ01000001,25,24,20,18,16,15,6472836,6472157,6462837,6446834,6405620,6370658,25,1180414,6472836,846003,502289,4,6,1.68
"Pseudomonas aeruginosa strain Pae_CF67.11p CF67.11p_contig_1, whole genome shotgun sequence",GCF_001036415.1_ASM103641v1_genomic.fna,NZ_LEJK01000001.1,aeruginosa,REFSEQ,1,1_LEJK01000001,75,62,52,48,40,30,6403460,6395828,6371851,6348362,6208354,5878699,69,645708,6401262,281746,113046,8,17,30.42
"Pseudomonas aeruginosa strain VET-30 PA2_H12_NODE_100_length_17594_cov_29.384_ID_199, whole genome shotgun sequence",GCF_003630485.1_ASM363048v1_genomic.fna,NZ_RACW01000535.1,aeruginosa,REFSEQ,1,1_RACW01000535,688,688,398,224,54,2,6445031,6445031,5666667,4414776,1859880,119309,688,67780,6445031,15002,8290,126,271,0.0
"Pseudomonas aeruginosa strain Pae_CF67.09i CF67.09i_contig_1, whole genome shotgun sequence",GCF_001035445.1_ASM103544v1_genomic.fna,NZ_LEHN01000001.1,aeruginosa,REFSEQ,1,1_LEHN01000001,114,84,66,59,50,38,6405037,6391884,6354514,6311353,6157821,5716557,93,490054,6398606,140529,92065,11,25,20.08
"Pseudomonas aeruginosa isolate 131, whole genome shotgun sequence",GCF_900144735.1_131_genomic.fna,NZ_FRJB01000203.1,aeruginosa,REFSEQ,1,1_FRJB01000203,203,178,142,122,82,38,6422591,6408184,6305973,6164823,5448001,3876310,193,274464,6418122,66591,34244,27,61,0.0
"Pseudomonas sp. RW405 NODE_12_LENGTH_210_COV_419.214294, whole genome shotgun sequence",GCF_003184135.1_ASM318413v1_genomic.fna,NZ_QHJD01000006.1,sp.,REFSEQ,4,4_QHJD01000006,33,13,2,2,2,2,5862946,5853559,5837817,5837817,5837817,5837817,19,4706891,5857924,4706891,4706891,1,1,23.22
"Pseudomonas aeruginosa strain WH-SGI-V-07636 WH-SGI-V-07636_contig1, whole genome shotgun sequence",GCF_001452155.1_WH-SGI-V-07636_genomic.fna,NZ_LLRH01000001.1,aeruginosa,REFSEQ,1,1_LLRH01000001,94,54,41,37,33,29,6773596,6756827,6724987,6696654,6630901,6460674,64,643653,6763773,379751,133961,7,15,0.95
"Pseudomonas sp. M30-35 chromosome, complete genome",GCF_002163625.1_ASM216362v1_genomic.fna,NZ_CP020892.1,sp.,REFSEQ,4,4_CP020892,1,1,1,1,1,1,4926954,4926954,4926954,4926954,4926954,4926954,1,4926954,4926954,4926954,4926954,1,1,0.0
"Pseudomonas aeruginosa strain ATCC 27853, complete genome",GCF_001687285.1_ASM168728v1_genomic.fna,NZ_CP011857.1,aeruginosa,REFSEQ,1,1_CP011857,1,1,1,1,1,1,6833187,6833187,6833187,6833187,6833187,6833187,1,6833187,6833187,6833187,6833187,1,1,0.0
"Pseudomonas aeruginosa isolate 439.1, whole genome shotgun sequence",GCF_900147995.1_439_1_genomic.fna,NZ_FRVS01000299.1,aeruginosa,REFSEQ,1,1_FRVS01000299,299,268,199,154,84,35,6276315,6254124,6075177,5745750,4594002,2816066,292,166071,6273273,44768,23839,42,89,0.0
"Pseudomonas aeruginosa isolate 301, whole genome shotgun sequence",GCF_900146315.1_301_genomic.fna,NZ_FRPD01000140.1,aeruginosa,REFSEQ,1,1_FRPD01000140,140,126,109,96,68,39,6633222,6624467,6577148,6487199,5996606,4958438,134,346990,6630489,117127,49528,18,40,0.0
"Pseudomonas aeruginosa strain 6001 IPC1328_1.1, whole genome shotgun sequence",GCF_004372025.1_ASM437202v1_genomic.fna,NZ_RWOH01000001.1,aeruginosa,REFSEQ,1,1_RWOH01000001,27,25,22,20,19,16,6270739,6269000,6261030,6249890,6233087,6104678,27,904032,6270739,760790,395315,4,8,1.61
"Pseudomonas aeruginosa strain Pae_CF67.01l CF67.01l_contig_1, whole genome shotgun sequence",GCF_001007215.1_ASM100721v1_genomic.fna,NZ_LCSV01000001.1,aeruginosa,REFSEQ,1,1_LCSV01000001,82,59,47,43,40,31,6435863,6424536,6402437,6373597,6326865,5991560,71,668977,6432952,328937,102210,7,17,38.58
"Pseudomonas aeruginosa strain 24Pae112 chromosome, complete genome",GCF_003433235.1_ASM343323v1_genomic.fna,NZ_CP029605.1,aeruginosa,REFSEQ,1,1_CP029605,1,1,1,1,1,1,7097241,7097241,7097241,7097241,7097241,7097241,1,7097241,7097241,7097241,7097241,1,1,0.0
"Pseudomonas aeruginosa isolate RW199, whole genome shotgun sequence",GCF_001374995.1_260_Rw199_contigs_500_genomic.fna,NZ_CTDV01000001.1,aeruginosa,REFSEQ,1,1_CTDV01000001,72,63,44,39,35,31,6488187,6481408,6440713,6408447,6343103,6187666,72,547567,6488187,256548,165625,9,18,0.0
"Pseudomonas aeruginosa strain ATCC 33362 scaffold_0, whole genome shotgun sequence",GCF_001444865.1_ASM144486v1_genomic.fna,NZ_LJZI01000001.1,aeruginosa,REFSEQ,1,1_LJZI01000001,170,136,87,79,63,43,6480444,6463844,6342856,6287298,6019301,5315946,150,335886,6473268,140168,64664,17,35,4.82
